"corso_codice","corso_descrizione","scuola_long","annopubblicazione","p_fuoriregione","p_laureatiincorso","p_esperienzaestero","p_soddisfatti","p_soddisfatti_italia","p_lavorano","p_lavorano_italia","p_studiano","p_studiano_italia","annoaccademico","immatricolabile","url","campus","sededidattica","scuola","tipologia","durata","internazionale","internazionale_titolo","internazionale_lingua","lingue","accesso"
8855,"Archeologia e culture del mondo antico","Lettere e Beni culturali",2017,0.77,0.45,0.09,0.89,0.87,0.39,0.37,0.19,0.23,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8855","Bologna","Bologna","Lettere e Beni culturali","Laurea Magistrale",2,"True","Titolo multiplo","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
8856,"Chimica","Scienze",2017,0.74,0.63,0.03,0.84,0.91,0.27,0.42,0.46,0.34,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8856","Bologna","Bologna","Scienze","Laurea Magistrale",2,"True","Titolo multiplo (solo alcuni curricula)","Erogato in lingua straniera (solo alcuni curricula)","Italiano Inglese","libero accesso con verifica dell'adeguatezza della preparazione"
8857,"Biologia marina","Scienze",2017,0.71,0.7,0.09,0.94,0.91,0.27,0.31,0.17,0.24,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8857","Ravenna","Ravenna","Scienze","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
8858,"Economia e gestione aziendale","Economia, Management e Statistica",2017,0.34,0.73,0.14,0.9,0.92,0.72,0.59,0.09,0.16,"2016/2017","False","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8858","Forlì","Forlì","Economia, Management e Statistica","Laurea Magistrale",2,"True","Titolo multiplo","Erogato in lingua straniera (solo alcuni curricula)","Italiano Inglese","numero chiuso"
8859,"Biotecnologie mediche","Medicina e Chirurgia",2017,0.82,0.82,0.07,0.93,0.91,0.24,0.31,0.24,0.32,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8859","Bologna","Bologna","Medicina e Chirurgia","Laurea Magistrale",2,"True","Titolo multiplo (solo alcuni curricula)","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
8871,"Economia aziendale","Economia, Management e Statistica",2017,0.38,0.59,0.13,0.87,0.88,0.35,0.3,0.61,0.62,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8871","Bologna","Bologna","Economia, Management e Statistica","Laurea",3,"False","","","Italiano","numero chiuso"
8872,"Finanza, assicurazioni e impresa","Economia, Management e Statistica",2017,0.55,0.46,0.05,0.94,0.95,0.39,0.33,0.45,0.62,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8872","Rimini","Rimini","Economia, Management e Statistica","Laurea",3,"False","","","Italiano","libero accesso con verifica delle conoscenze"
8873,"Scienze statistiche","Economia, Management e Statistica",2017,0.51,0.4,0.07,0.94,0.95,0.35,0.33,0.64,0.62,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8873","Bologna","Bologna","Economia, Management e Statistica","Laurea",3,"True","Titolo multiplo (solo alcuni curricula)","Erogato in lingua straniera (solo alcuni curricula)","Italiano Inglese","libero accesso con verifica delle conoscenze"
8875,"Scienze statistiche","Economia, Management e Statistica",2017,0.53,0.69,0.07,0.83,0.92,0.62,0.73,0.19,0.15,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8875","Bologna","Bologna","Economia, Management e Statistica","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
8876,"Statistica, economia e impresa","Economia, Management e Statistica",2017,0.75,0.59,0.12,1,0.92,0.79,0.73,0.08,0.15,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8876","Bologna","Bologna","Economia, Management e Statistica","Laurea Magistrale",2,"False","","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
